Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Year
eu,Europe,eugbr,United Kingdom,gbr,138620518.0,2012
eu,Europe,euhrv,Croatia,hrv,8374.0,2012
eu,Europe,euhun,Hungary,hun,32365.0,2012
eu,Europe,euisl,Iceland,isl,579.0,2012
eu,Europe,euita,Italy,ita,3182591.0,2012
eu,Europe,eultu,Lithuania,ltu,420.0,2012
eu,Europe,eulux,Luxembourg,lux,1017597.0,2012
eu,Europe,eunld,Netherlands,nld,1835219.0,2012
eu,Europe,eupol,Poland,pol,414476.0,2012
eu,Europe,euprt,Portugal,prt,153950.0,2012
eu,Europe,eusvk,Slovakia,svk,86.0,2012
eu,Europe,euswe,Sweden,swe,36620.0,2012
eu,Europe,euukr,Ukraine,ukr,3143.9999999999995,2012
na,North America,naatg,Antigua and Barbuda,atg,4113.0,2012
na,North America,nacan,Canada,can,16563.0,2012
na,North America,nacri,Costa Rica,cri,14269.0,2012
na,North America,nadom,Dominican Republic,dom,45473.0,2012
na,North America,nagtm,Guatemala,gtm,43884.0,2012
na,North America,nahnd,Honduras,hnd,1260.0,2012
na,North America,najam,Jamaica,jam,4188.0,2012
na,North America,namex,Mexico,mex,664339.0,2012
na,North America,natto,Trinidad and Tobago,tto,15554.0,2012
na,North America,nausa,United States,usa,14894193.0,2012
oc,Oceania,ocaus,Australia,aus,167346.0,2012
oc,Oceania,ocnzl,New Zealand,nzl,33249.0,2012
oc,Oceania,ocpng,Papua New Guinea,png,99.0,2012
sa,South America,saarg,Argentina,arg,3375.0,2012
sa,South America,sabol,Bolivia,bol,3284.0,2012
sa,South America,sabra,Brazil,bra,1939848.0,2012
sa,South America,sachl,Chile,chl,31088.0,2012
sa,South America,saecu,Ecuador,ecu,4836.0,2012
sa,South America,saper,Peru,per,17373.0,2012
sa,South America,saven,Venezuela,ven,129351.0,2012
af,Africa,afago,Angola,ago,147.0,2013
af,Africa,afbwa,Botswana,bwa,1394.0000000000002,2013
af,Africa,afgab,Gabon,gab,19917.0,2013
af,Africa,aflso,Lesotho,lso,2848.9999999999995,2013
af,Africa,afmar,Morocco,mar,7847.0,2013
af,Africa,afmoz,Mozambique,moz,419780.0,2013
af,Africa,afnga,Nigeria,nga,89776.0,2013
af,Africa,afrwa,Rwanda,rwa,459358.0,2013
af,Africa,aftza,Tanzania,tza,7870.0,2013
af,Africa,afzaf,South Africa,zaf,9700830.0,2013
as,Asia,asare,United Arab Emirates,are,737359.0000000001,2013
as,Asia,asarm,Armenia,arm,134287.99999999997,2013
as,Asia,asbgd,Bangladesh,bgd,242.0,2013
as,Asia,aschn,China,chn,171444559.0,2013
as,Asia,ashkg,Hong Kong,hkg,22037215.0,2013
as,Asia,asidn,Indonesia,idn,617323.0,2013
as,Asia,asind,India,ind,3467964.0,2013
as,Asia,asirn,Iran,irn,87641.0,2013
as,Asia,asisr,Israel,isr,1000.0,2013
as,Asia,asjpn,Japan,jpn,6324623.0,2013
as,Asia,askaz,Kazakhstan,kaz,51042107.00000001,2013
as,Asia,askor,South Korea,kor,2651023.0,2013
as,Asia,askwt,Kuwait,kwt,288665.0,2013
as,Asia,asmys,Malaysia,mys,2782049.0,2013
as,Asia,asphl,Philippines,phl,43633.0,2013
as,Asia,assgp,Singapore,sgp,2811.0000000000005,2013
as,Asia,astha,Thailand,tha,51772121.0,2013
as,Asia,astur,Turkey,tur,1017.0,2013
as,Asia,astwn,Chinese Taipei,twn,1816854.0,2013
as,Asia,asvnm,Vietnam,vnm,226650.0,2013
