Country (or dependent territory),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
United States,"21,322,925","23,594,050","25,744,100","27,357,825","28,781,083","29,839,684","31,018,771","32,274,458","33,582,242","34,950,012"
China,"14,862,564","17,759,307","17,848,540","17,662,041","18,532,633","19,790,074","21,027,664","22,276,918","23,579,013","24,842,337"
Japan,"5,055,587","5,034,621","4,256,410","4,212,944","4,110,452","4,310,366","4,499,524","4,649,090","4,836,331","4,944,744"
Germany,"3,884,615","4,281,348","4,085,681","4,457,366","4,591,100","4,772,259","4,941,646","5,089,795","5,229,272","5,358,074"
United Kingdom,"2,699,734","3,142,262","3,100,109","3,344,744","3,495,261","3,685,408","3,915,566","4,144,371","4,394,713","4,661,463"
India,"2,674,852","3,167,271","3,353,471","3,572,078","3,937,011","4,339,830","4,789,829","5,287,040","5,833,423","6,436,653"
France,"2,645,300","2,958,296","2,780,433","3,031,778","3,130,014","3,223,133","3,332,653","3,437,176","3,544,996","3,645,286"
Italy,"1,895,943","2,156,310","2,068,598","2,255,503","2,328,028","2,390,443","2,439,622","2,492,629","2,558,678","2,625,878"
Canada,"1,655,685","2,007,472","2,161,483","2,140,086","2,242,182","2,360,581","2,469,208","2,576,318","2,688,151","2,805,774"
South Korea,"1,644,676","1,818,432","1,673,917","1,712,793","1,760,947","1,842,661","1,924,400","2,004,894","2,087,319","2,171,007"
Russia,"1,488,117","1,843,131","2,272,262","1,997,030","2,056,844","2,090,522","2,117,244","2,148,676","2,182,013","2,211,461"
Brazil,"1,476,092","1,670,650","1,951,849","2,173,671","2,331,391","2,437,906","2,596,117","2,760,057","2,903,891","3,058,227"
Australia,"1,364,901","1,657,799","1,724,924","1,741,882","1,790,348","1,863,238","1,940,478","2,016,877","2,107,311","2,208,401"
Spain,"1,277,106","1,446,613","1,418,916","1,581,151","1,647,114","1,715,584","1,772,090","1,829,221","1,890,022","1,950,639"
Mexico,"1,120,832","1,313,070","1,463,324","1,788,897","2,017,025","2,128,070","2,231,099","2,331,637","2,437,850","2,543,963"
Indonesia,"1,059,055","1,186,510","1,319,076","1,371,171","1,475,690","1,613,904","1,746,604","1,886,118","2,035,959","2,194,815"
Netherlands,"909,065","1,030,363","1,010,193","1,117,101","1,142,513","1,177,592","1,223,053","1,269,891","1,317,550","1,363,567"
Switzerland,"741,028","812,441","818,643","885,141","938,458","971,745","1,022,424","1,062,449","1,117,347","1,160,827"
Saudi Arabia,"734,271","874,156","1,108,572","1,067,583","1,106,015","1,171,003","1,228,906","1,289,618","1,349,310","1,429,303"
Turkey,"720,159","818,337","905,841","1,108,453","1,113,561","1,106,916","1,153,494","1,197,314","1,241,708","1,286,119"
Taiwan,"673,178","773,038","760,907","756,592","802,958","854,677","900,208","943,377","975,643","1,005,191"
Poland,"599,458","681,429","688,25","808,435","844,623","884,581","937,789","984,45","1,022,936","1,063,492"
Sweden,"547,054","639,715","590,41","593,268","623,048","651,281","680,164","711,1","742,266","774,57"
Belgium,"525,843","601,149","583,895","630,11","655,192","673,248","693,456","714,154","737,174","759,32"
Thailand,"500,462","506,256","495,646","514,945","548,89","573,394","605,762","643,894","678,622","710,434"
Austria,"434,701","479,614","471,216","519,71","540,887","561,734","581,023","598,329","615,262","632,535"
Nigeria,"429,423","441,424","477,376","374,947","252,738","251,198","254,831","265,781","276,779","287,85"
Ireland,"428,266","513,733","533,559","545,787","564,02","586,864","612,631","639,446","667,93","696,95"
Israel,"411,731","489,71","525,003","509,478","530,664","569,509","594,688","621,711","651,253","682,284"
Argentina,"385,218","487,377","630,662","654,892","604,26","558,957","592,49","629,443","663,404","694,081"
Egypt,"382,525","423,3","475,231","393,909","347,594","328,845","374,251","426,392","482,639","539,606"
Bangladesh,"373,902","416,265","460,201","446,349","455,162","491,815","546,924","613,706","691,865","779,978"
Norway,"367,633","503,368","593,727","485,513","526,951","554,775","564,342","581,215","597,958","617,095"
Philippines,"361,751","394,087","404,284","436,622","471,516","509,379","551,56","596,935","650,628","709,641"
Denmark,"354,763","405,688","400,167","405,199","409,989","424,326","441,465","458,995","477,516","496,843"
Singapore,"349,488","434,111","498,475","501,428","525,228","548,148","573,465","599,299","626,285","654,713"
United Arab Emirates,"349,473","415,179","507,064","504,173","527,796","550,24","577,754","609,469","645,345","685,153"
Vietnam,"346,31","370,076","407,965","433,702","465,814","505,531","546,491","589,854","635,648","684,01"
Hong Kong,"344,941","368,954","358,696","376,969","406,775","427,782","449,263","471,607","494,999","519,326"
South Africa,"338,193","420,009","405,106","377,676","373,233","384,765","398,062","413,042","427,66","442,857"
Malaysia,"337,456","373,832","407,027","415,569","445,519","477,829","509,068","538,333","570,626","603,082"
Pakistan,"300,41","348,481","374,748","338,237",,,,,,
Finland,"271,668","296,668","282,109","300,499","308,055","318,583","329,774","341,682","353,842","365,673"
Colombia,"270,348","318,525","345,33","363,616","386,076","400,48","417,861","439,433","462,1","485,35"
Chile,"254,06","315,601","302,16","335,658","333,76","374,753","391,385","408,875","426,968","445,147"
Romania,"251,699","286,015","301,273","345,894","369,971","389,689","413,281","438,774","463,786","488,55"
Czech Republic,"245,975","281,791","290,566","332,025","325,88","337,53","351,158","365,662","381,166","397,087"
Portugal,"228,849","255,705","255,398","287,421","298,949","309,715","321,832","334,087","346,807","359,658"
