Rank;NOC;Gold;Silver;Bronze;Total
1; China;48;22;30;100
2; United States;36;39;37;112
3; Russia;24;13;23;60
4; Great Britain;19;13;19;51
5; Germany;16;11;14;41
6; Australia;14;15;17;46
7; South Korea;13;11;8;32
8; Japan;9;8;8;25
9; Italy;8;9;10;27
10; France;7;16;20;43
11; Netherlands;7;5;4;16
12; Ukraine;7;4;11;22
13; Kenya;6;4;6;16
14; Spain;5;11;3;19
15; Jamaica;5;4;2;11
16; Poland;4;5;2;11
17; Ethiopia;4;2;1;7
18; Romania;4;1;4;9
19; Cuba;3;10;17;30
20; Canada;3;9;8;20
21; Hungary;3;5;2;10
22; Norway;3;5;1;9
23; Brazil;3;4;10;17
24; Belarus;3;4;7;14
25; Czech Republic;3;3;1;7
26; Slovakia;3;3;0;6
27; New Zealand;3;2;4;9
28; Georgia;3;2;2;7
29; Kazakhstan;2;3;4;9
30; Denmark;2;2;3;7
31; North Korea;2;2;2;6
32; Thailand;2;2;2;6
33; Mongolia;2;2;0;4
34; Switzerland;2;1;4;7
35; Argentina;2;0;4;6
36; Mexico;2;0;2;4
37; Belgium;2;0;0;2
38; Zimbabwe;1;3;0;4
39; Slovenia;1;2;2;5
40; Azerbaijan;1;1;4;6
41; Indonesia;1;1;4;6
42; Bulgaria;1;1;3;5
43; Turkey;1;1;3;5
44; Chinese Taipei;1;1;2;4
45; Finland;1;1;2;4
46; Latvia;1;1;1;3
47; Dominican Republic;1;1;0;2
48; Estonia;1;1;0;2
49; Portugal;1;1;0;2
50; Trinidad and Tobago;1;1;0;2
51; India;1;0;2;3
52; Iran;1;0;1;2
53; Cameroon;1;0;0;1
54; Panama;1;0;0;1
55; Tunisia;1;0;0;1
56; Sweden;0;4;1;5
57; Lithuania;0;3;2;5
58; Nigeria;0;3;2;5
59; Croatia;0;2;3;5
60; Colombia;0;2;1;3
61; Greece;0;2;1;3
62; Armenia;0;1;4;5
63; Uzbekistan;0;1;3;4
64; Austria;0;1;2;3
65; Ireland;0;1;2;3
66; Kyrgyzstan;0;1;2;3
67; Serbia;0;1;2;3
68; Algeria;0;1;1;2
69; Bahamas;0;1;1;2
70; Morocco;0;1;1;2
71; Tajikistan;0;1;1;2
72; Chile;0;1;0;1
73; Ecuador;0;1;0;1
74; Iceland;0;1;0;1
75; Malaysia;0;1;0;1
76; Samoa;0;1;0;1
77; Singapore;0;1;0;1
78; South Africa;0;1;0;1
79; Sudan;0;1;0;1
80; Vietnam;0;1;0;1
81; Egypt;0;0;2;2
82; Afghanistan;0;0;1;1
83; Israel;0;0;1;1
84; Mauritius;0;0;1;1
85; Moldova;0;0;1;1
86; Togo;0;0;1;1
87; Venezuela;0;0;1;1
