Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Burkina Faso,"2,386","2,076","1,934","1,767","1,579","1,746","2,29","2,665","2,942","2,942"
Cyprus,"2,314","2,242","2,319","2,321","2,447","2,611","3,317","3,979","4,589","4,901"
Benin,"2,302","1,557","1,542","1,365","1,456","1,58","2,036","2,43","2,552","2,37"
Nepal,"2,258","2,641","2,669","2,92","3,089","3,208","3,491","3,621","4,27","4,317"
Republic of the Congo,"2,165","1,775","1,548","1,407","1,294","1,327","1,815","2,205","2,346","2,478"
Mali,"2,031","1,66","1,468","1,418","1,416","1,426","1,981","2,308","2,316","2,827"
Togo,"1,994","1,656","1,396","1,33","1,222","1,281","1,795","2,107","2,345","2,302"
Albania,"1,946","2,229","2,296","2,319","2,29","2,339","2,587","2,566","2,53","2,779"
Laos,"1,913","1,118","1,119","2,047","2,93","3,685","2,577","1,815","1,182","1,46"
Nicaragua,"1,832","2,156","2,497","2,9","3,966","3,854","5,8","3,409","1,499","2,082"
Sierra Leone,"1,701","1,823","2,05","1,782","2,062","1,755","1,314","1,145","1,877","1,724"
Rwanda,"1,493","1,695","1,808","1,932","1,851","2,199","2,49","2,765","2,959","3,09"
Fiji,"1,303","1,339","1,293","1,217","1,276","1,236","1,398","1,276","1,202","1,281"
Suriname,"1,276","1,427","1,469","1,419","1,387","1,402","1,43","1,573","1,864","2,177"
Mauritius,"1,242","1,179","1,131","1,198","1,108","1,122","1,515","1,919","2,225","2,286"
Botswana,"1,174","1,037","1,094","1,208","1,2","1,117","1,515","2,374","3,082","3,441"
Barbados,"1,018","1,12","1,171","1,243","1,355","1,418","1,557","1,714","1,823","2,018"
Chad,"1,006","1,19","1,15","1,151","1,236","1,34","1,65","1,87","2,186","2,065"
Burundi,951,989,"1,045","1,106","1,005","1,17","1,233","1,161","1,088","1,131"
Guyana,842,808,692,703,654,697,789,728,828,832
Eswatini,754,798,714,734,628,497,635,831,986,"1,006"
Central African Republic,714,743,719,690,670,883,"1,158","1,275","1,372","1,354"
Gambia,606,579,548,551,396,482,376,504,585,614
Lesotho,428,435,362,401,360,288,331,434,496,519
Guinea-Bissau,289,370,421,475,330,485,474,401,374,449
Comoros,242,212,201,195,188,191,257,312,336,328
Belize,223,232,232,244,273,271,295,345,407,470
Solomon Islands,183,194,193,181,182,166,148,155,176,173
Saint Lucia,170,194,183,197,251,284,340,375,429,486
Cape Verde,157,154,155,152,145,152,210,260,292,295
Seychelles,147,154,148,147,151,169,208,249,284,305
Bhutan,132,143,150,162,168,174,197,238,273,272
Antigua and Barbuda,131,148,164,182,208,241,290,337,399,439
Samoa,127,119,122,113,111,106,112,124,138,141
Vanuatu,121,114,114,117,144,132,128,139,158,154
Grenada,111,116,125,132,146,168,188,215,236,267
Saint Vincent and the Grenadines,89,110,123,132,146,157,174,190,217,232
Dominica,73,82,90,99,109,119,135,152,171,185
Tonga,71,79,79,77,81,76,90,98,115,139
São Tomé and Príncipe,69,84,81,76,79,83,117,117,100,99
Maldives,63,73,87,94,113,134,158,149,178,201
Saint Kitts and Nevis,58,69,79,78,91,101,119,136,161,179
Kiribati,33,35,33,31,34,26,26,30,38,38
Equatorial Guinea,32,30,35,40,44,74,91,111,119,105
