Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
United States,"2,857,325","3,207,025","3,343,800","3,634,025","4,037,650","4,339,000","4,579,625","4,855,250","5,236,425","5,641,600"
Japan,"1,129,381","1,245,224","1,158,735","1,270,864","1,345,829","1,427,025","2,120,091","2,580,757","3,125,735","3,109,464"
Germany,"853,705","718,264","693,547","691,912","651,9","661,037","944,124","1,174,861","1,266,623","1,257,393"
France,"702,243","618,954","588,015","562,499","532,339","557,561","772,838","935,117","1,020,878","1,026,179"
United Kingdom,"604,697","588,342","559,326","532,925","504,939","537,2","655,035","814,102","989,706","1,007,623"
Italy,"479,122","434,498","429,408","445,612","440,268","454,653","643,932","808,203","895,423","931,283"
China,"303,004","288,699","284,601","305,428","314,23","310,133","300,92","327,728","408,663","458,18"
Canada,"276,064","307,246","314,639","341,863","356,728","366,184","379,015","433,14","509,38","567,225"
Mexico,"242,153","311,012","225,706","184,01","217,001","230,272","159,434","174,84","213,893","260,663"
Argentina,"233,696","189,802","94,25","116,267","130,544","98,599","118,565","121,561","142,386","91,352"
Spain,"230,759","204,588","197,643","172,856","172,381","181,62","251,304","318,389","374,068","412,59"
Netherlands,"193,758","162,4","157,338","153,179","142,578","144,655","201,599","246,928","264,223","260,532"
India,"186,17","193,153","200,035","218,218","211,843","233,52","248,398","278,864","294,479","296,043"
Saudi Arabia,"164,54","184,292","153,24","129,18","119,631","103,894","86,886","85,582","88,138","95,217"
Australia,"162,957","188,448","187,087","179,514","197,175","174,419","181,514","213,142","271,143","308,356"
Brazil,"145,819","167,583","179,166","143,652","142,957","226,938","263,256","286,539","320,105","439,434"
Sweden,"140,384","128,148","113,059","103,89","108,255","113,249","149,633","181,991","205,883","216,691"
Belgium,"123,478","102,245","89,958","85,037","81,237","84,467","117,063","145,411","158,097","159,816"
Switzerland,"122,466","112,129","114,891","114,517","109,4","110,965","159,074","199,086","215,36","208,135"
Indonesia,"99,296","110,848","113,799","103,149","107,218","107,062","101,22","95,214","107,279","122,582"
Turkey,"96,596","97,865","88,918","84,968","82,642","92,827","102,337","118,926","125,032","147,727"
Iran,"95,846","101,481","125,8","156,927","161,721","180,541","208,928","277,019","311,932","379,427"
South Africa,"89,412","93,15","85,897","96,205","84,838","64,481","73,399","96,533","104,01","108,07"
Austria,"80,923","70,121","70,111","71,032","67,007","68,624","97,375","121,771","133,591","133,263"
Denmark,"71,127","61,878","60,413","60,645","59,105","62,658","88,079","109,414","115,552","112,41"
Venezuela,"69,841","78,367","79,998","79,672","57,826","59,865","60,877","46,854","60,378","44,672"
Democratic Republic of the Congo,"68,606","59,726","64,939","52,378","34,951","31,943","35,84","33,932","39,314","40,006"
South Korea,"65,368","72,934","78,349","87,761","97,511","101,296","116,836","147,949","199,593","246,929"
Norway,"64,439","63,597","62,647","61,627","62,058","65,417","78,693","94,231","101,901","102,634"
Greece,"57,01","52,605","54,878","49,603","48,329","47,936","56,421","65,682","76,447","79,25"
Poland,"56,731","53,752","65,315","75,555","75,656","70,915","73,822","63,84","68,747","67,027"
Finland,"53,714","52,62","53,111","51,056","53,032","56,223","73,652","91,775","109,255","119,106"
Colombia,"46,501","50,661","54,252","53,92","53,257","48,581","48,648","50,64","54,592","55,048"
Romania,"46,053","55,319","55,375","48,401","39,111","48,286","52,29","58,477","60,538","54,236"
Algeria,"45,957","48,156","48,599","51,582","55,906","66,346","66,783","68,698","56,07","57,041"
Taiwan,"42,285","48,969","49,535","54,148","61,071","63,617","78,195","105,039","126,473","152,704"
United Arab Emirates,"41,725","46,461","43,205","39,588","39,245","38,519","30,526","33,519","34,069","39,325"
Libya,"40,19","34,72","34,616","32,988","30,89","30,384","24,756","23,009","25,87","27,446"
Pakistan,"38,616","45,681","49,932","46,619","50,612","50,607","51,827","54,171","62,385","65,042"
Bulgaria,"37,751","40,718","42,467","43,641","46,358","39,692","35,13","40,721","66,546","67,774"
Ghana,"37,35","60,694","70,406","47,317","17,113","15,255","14,072","11,777","12,523","12,733"
Philippines,"37,082","40,735","42,441","37,953","35,86","34,973","34,129","37,932","43,293","48,652"
Vietnam,"35,357","17,617","23,369","35,204","61,171","19,045","43,009","53,385","29,501","7,991"
Thailand,"33,422","35,999","37,799","41,366","43,179","40,185","44,52","52,204","63,704","74,637"
Portugal,"32,607","32,477","30,678","28,267","25,951","27,231","37,869","47,387","55,435","59,806"
Chile,"29,032","34,374","25,63","20,819","20,246","17,36","18,662","22,01","25,947","29,889"
Hong Kong,"28,862","31,055","32,291","29,907","33,511","35,7","41,076","50,623","59,708","68,79"
Malaysia,"26,757","27,321","29,278","32,745","37,087","34,09","30,303","34,529","37,845","41,678"
Israel,"25,013","26,503","28,404","31,678","29,989","27,873","34,314","40,984","50,77","51,657"
Bangladesh,"24,775","26,355","24,678","23,904","26,817","28,819","29,639","32,449","34,914","38,07"
Morocco,"23,807","19,329","19,51","17,635","16,13","16,28","21,497","23,713","28,08","28,901"
Egypt,"23,523","25,76","30,479","37,254","41,888","48,841","54,076","77,359","92,53","115,362"
Hungary,"23,042","23,629","24,064","21,839","21,174","21,441","24,698","27,144","29,703","30,323"
New Zealand,"22,559","23,479","23,245","22,492","22,385","22,546","27,437","36,99","45,52","44,022"
Ireland,"21,425","20,423","21,313","20,618","19,883","21,168","28,516","33,66","36,875","38,03"
Peru,"20,19","24,398","24,259","18,863","19,442","16,823","25,241","41,681","32,978","40,699"
Ecuador,"16,116","16,501","16,474","14,478","15,408","18,02","13,222","12,355","11,749","11,531"
Puerto Rico,"14,436","15,956","16,764","17,277","19,163","20,289","21,969","23,878","26,178","28,267"
Ivory Coast,"13,877","11,502","10,32","9,312","9,284","9,47","12,675","13,944","14,092","13,487"
Kenya,"13,449","12,667","12,196","11,279","11,703","11,646","13,832","15,163","15,722","15,586"
Syria,"12,98","16,652","17,415","18,649","19,171","21,177","25,428","32,497","16,538","9,849"
Uruguay,"12,217","13,636","11,147","6,119","5,819","5,686","7,059","8,832","9,137","9,63"
Singapore,"12,082","14,367","15,879","18,011","19,563","18,573","18,78","21,629","26,551","31,436"
Tanzania,"10,873","13,005","14,932","15,294","13,915","12,556","15,874","7,821","7,474","6,444"
Tunisia,"9,566","9,223","8,9","9,202","9,054","9,245","9,91","10,663","11,073","11,069"
Sudan,"9,095","6,53","4,748","6,485","7,992","5,547","7,4","11,964","9,551","16,853"
Cameroon,"8,85","10,026","9,616","9,692","10,243","10,698","13,945","16,152","16,403","14,626"
Dominican Republic,"8,672","9,698","9,141","9,461","14,87","6,496","7,891","8,305","7,605","8,589"
Guatemala,"7,718","8,431","8,539","8,864","9,276","10,951","5,921","6,857","7,426","8,561"
Uganda,"7,486","12,12","8,41","9,619","7,399","6,771","6,746","10,878","11,268","9,136"
Ethiopia,"7,385","7,578","7,973","8,863","8,375","9,808","10,188","10,89","11,285","11,872"
Oman,"7,269","8,849","9,285","9,733","10,726","11,916","9,433","9,89","9,613","10,743"
Qatar,"6,665","7,374","6,467","5,506","5,708","5,339","4,214","4,441","4,26","4,502"
Angola,"6,639","6,214","6,214","6,476","6,864","8,457","7,918","9,05","9,818","11,421"
Luxembourg,"6,434","5,549","4,557","4,473","4,385","4,544","6,611","8,211","9,301","9,903"
Trinidad and Tobago,"6,343","7,113","8,28","7,898","7,891","7,503","4,877","4,88","4,574","4,397"
Madagascar,"5,202","4,759","4,785","4,686","3,906","3,803","4,348","3,213","3,189","3,176"
Sri Lanka,"5,194","5,404","5,834","6,298","7,382","7,302","7,826","8,149","8,518","8,55"
Costa Rica,"4,854","2,636","2,619","3,162","3,678","3,941","4,425","4,554","4,636","5,25"
Mozambique,"4,615","3,585","3,662","3,28","3,417","4,516","5,301","2,395","2,105","2,199"
Gabon,"4,559","4,111","3,853","3,689","3,547","3,736","4,889","3,699","4,079","4,458"
Senegal,"4,338","3,934","3,85","3,435","3,35","3,668","5,188","6,241","6,173","6,083"
Panama,"4,253","4,814","5,319","5,461","5,7","6,03","6,266","6,294","5,441","5,456"
Zambia,"4,246","4,385","4,232","3,653","3,003","2,848","1,962","2,431","4,095","4,365"
Paraguay,"4,095","5,22","5,47","6,069","4,931","4,214","5,032","4,216","5,584","4,046"
Papua New Guinea,"4,087","4,011","3,805","3,799","3,509","3,25","3,535","3,885","5,4","5,238"
Lebanon,"4,02","3,843","2,621","3,611","4,269","3,566","2,78","3,254","3,269","2,682"
Honduras,"3,968","4,044","4,267","4,477","4,915","5,278","5,678","6,191","6,877","7,877"
Jordan,"3,932","4,416","4,713","4,953","5,003","5,033","6,445","6,794","6,364","4,279"
El Salvador,"3,912","3,449","3,406","3,261","2,385","2,319","2,335","2,374","2,771","3,167"
Bahrain,"3,593","4,056","4,264","4,368","4,534","4,278","3,347","3,626","4,481","4,675"
Bolivia,"3,589","3,44","3,813","3,609","3,752","4,059","3,97","4,323","4,598","4,716"
Niger,"3,531","3,056","2,84","2,538","2,056","2,027","2,68","3,143","3,21","3,068"
Iceland,"3,434","3,543","3,251","2,793","2,892","3,009","4,014","5,561","6,145","5,7"
Malawi,"3,022","3,022","2,881","2,986","2,949","2,762","2,883","2,834","3,258","3,715"
Mongolia,"2,728","2,854","2,963","3,071","2,837","3,294","3,636","4,086","4,104","4,275"
Haiti,"2,664","2,932","3,05","3,273","3,627","4,028","4,475","2,205","1,45","1,34"
Bahamas,"2,598","2,692","3,031","3,373","3,603","3,923","4,241","4,669","4,855","5,473"
Jamaica,"2,565","2,817","3,235","2,875","2,119","1,993","2,369","2,672","3,184","3,692"
Guinea,"2,4","2,381","2,335","2,284","2,327","2,473","2,675","2,84","3,317","3,384"
