Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Yemen,"12,644","14,665","17,959","21,737","28,019","12,796","6,496","6,838","6,322","7,639"
Luxembourg,"12,628","13,683","15,328","15,714","17,487","20,571","20,464","18,428","19,263","21,088"
Ethiopia,"12,595","13,928","14,696","9,143","8,135","7,887","8,794","8,621","7,815","7,515"
Angola,"12,571","12,186","9,395","6,819","4,965","6,197","7,994","9,388","7,958","7,526"
Syria,"12,303","12,738","13,263","13,796","15,105","16,556","17,761","16,573","16,144","16,785"
Ecuador,"11,71","13,139","14,367","16,783","20,238","21,98","23,001","25,847","26,292","18,891"
Uruguay,"11,204","13,502","15,515","18,064","21,04","23,267","24,73","26,155","27,704","26,178"
Zimbabwe,"10,144","9,45","7,793","7,569","7,959","8,263","10,117","10,386","12,099","11,769"
Sri Lanka,"9,787","10,716","11,553","12,351","14,245","15,127","16,592","18,544","19,05","19,143"
Vietnam,"8,217","9,704","12,528","16,736","20,712","26,407","31,352","34,146","34,58","36,444"
Dominican Republic,"7,995","9,887","11,605","13,081","14,645","16,637","18,242","20,017","21,672","22,137"
Guatemala,"7,535","9,174","10,138","11,045","12,482","14,05","14,992","16,982","18,461","17,422"
Uganda,"7,452","3,897","3,645","4,311","6,24","7,473","7,713","8,407","8,23","7,823"
Senegal,"7,078","6,955","7,435","7,014","4,746","6,026","6,3","5,867","6,416","6,599"
Iceland,"6,504","6,949","7,105","6,225","6,393","7,124","7,426","7,57","8,504","8,982"
Gabon,"6,339","5,754","5,955","5,757","4,463","5,281","6,064","5,673","4,774","4,966"
Qatar,"6,266","5,579","6,384","5,804","5,946","6,861","7,761","9,976","8,488","11,266"
Cyprus,"6,003","6,195","7,424","7,098","8,004","9,937","10,016","9,544","10,251","10,502"
Panama,"5,931","6,522","7,414","8,096","8,633","8,825","10,406","11,245","12,191","12,775"
Costa Rica,"5,737","7,197","8,566","9,586","10,489","11,578","11,683","12,618","13,688","14,259"
Bahamas,"5,218","5,128","5,125","5,097","5,372","5,653","5,95","6,332","6,833","7,684"
Tanzania,"5,172","6,019","5,588","5,17","5,478","6,382","7,889","9,341","11,481","11,777"
Trinidad and Tobago,"5,155","5,399","5,533","4,656","5,032","5,421","5,859","5,837","6,148","6,926"
Bahrain,"4,965","5,209","5,442","5,986","6,411","6,787","7,057","7,318","6,996","7,582"
Brunei,"4,923","5,254","5,526","5,588","6,002","7,153","7,204","7,043","5,353","5,779"
Honduras,"4,923","4,649","4,944","4,961","4,642","5,415","5,217","5,736","6,366","6,417"
Paraguay,"4,904","6,984","7,158","7,249","7,871","9,062","9,788","9,965","9,26","8,837"
Bolivia,"4,868","5,335","5,635","5,724","5,974","6,707","7,385","7,919","8,49","8,269"
El Salvador,"4,818","5,252","5,813","6,68","7,679","8,922","9,586","10,222","10,937","11,284"
Papua New Guinea,"4,757","5,596","6,466","7,349","8,077","7,149","7,608","7,272","5,558","5,072"
Jamaica,"4,663","4,285","4,328","5,44","5,453","6,549","7,394","8,4","8,787","8,887"
Nepal,"4,442","4,861","4,417","4,743","4,954","5,379","5,544","6,027","5,992","6,164"
Malawi,"4,222","5,38","4,394","5,056","2,93","3,412","5,569","6,504","4,275","4,336"
Jordan,"4,187","4,373","5,403","5,615","6,321","6,759","7,054","7,389","8,163","8,414"
Zambia,"4,085","3,69","3,614","3,549","3,657","3,799","3,599","4,303","3,538","3,405"
Madagascar,"3,931","3,255","3,715","4,063","3,522","3,838","4,932","4,263","4,402","4,278"
Botswana,"3,799","3,802","3,928","3,957","4,258","4,805","4,926","5,011","4,808","5,413"
Guinea,"3,71","4,195","4,57","4,562","4,707","5,139","5,316","5,212","5,003","4,798"
Mozambique,"3,529","3,855","2,799","2,883","2,958","3,062","4,03","4,874","5,551","6,285"
