Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"15,048,975","15,599,725","16,253,950","16,880,675","17,608,125","18,295,000","18,804,900","19,612,100","20,656,525","21,521,400"
China,"6,033,830","7,492,212","8,539,584","9,624,928","10,524,241","11,113,508","11,226,897","12,265,327","13,841,812","14,340,600"
Japan,"5,759,072","6,233,148","6,272,362","5,212,328","4,896,995","4,444,931","5,003,678","4,930,837","5,040,881","5,117,995"
Germany,"3,402,444","3,748,655","3,529,377","3,733,859","3,890,095","3,357,926","3,468,896","3,689,547","3,976,246","3,889,607"
France,"2,647,348","2,864,653","2,685,371","2,811,919","2,856,701","2,439,436","2,472,282","2,594,235","2,792,223","2,729,171"
United Kingdom,"2,487,924","2,664,719","2,707,571","2,786,665","3,066,304","2,928,558","2,699,086","2,682,384","2,875,024","2,853,074"
Brazil,"2,208,704","2,614,027","2,464,053","2,471,718","2,456,055","1,800,046","1,796,622","2,063,519","1,916,934","1,873,286"
Italy,"2,137,844","2,294,592","2,088,280","2,141,954","2,162,567","1,836,824","1,876,554","1,961,104","2,092,881","2,011,525"
India,"1,675,615","1,823,052","1,827,637","1,856,721","2,039,127","2,103,588","2,294,797","2,651,474","2,702,930","2,835,606"
Russia,"1,633,111","2,046,621","2,191,484","2,288,428","2,048,836","1,356,704","1,280,648","1,575,140","1,653,006","1,695,724"
Canada,"1,617,345","1,793,327","1,828,362","1,846,595","1,805,751","1,556,508","1,527,996","1,649,266","1,725,300","1,743,725"
Spain,"1,423,270","1,480,450","1,325,590","1,355,599","1,372,174","1,196,278","1,233,215","1,312,782","1,422,347","1,394,474"
Australia,"1,254,773","1,515,485","1,570,239","1,520,194","1,457,632","1,234,526","1,263,874","1,382,612","1,419,098","1,388,204"
South Korea,"1,143,568","1,253,419","1,278,046","1,370,633","1,484,489","1,466,039","1,499,362","1,623,074","1,725,373","1,651,423"
Mexico,"1,105,424","1,229,014","1,255,110","1,327,436","1,364,508","1,213,294","1,112,233","1,190,721","1,256,300","1,305,200"
Netherlands,"848,073","905,111","839,455","877,186","892,398","765,65","783,844","833,575","914,458","910,295"
Turkey,"776,558","838,508","880,141","957,504","938,512","864,071","869,28","858,932","780,19","760,52"
Indonesia,"755,094","892,969","917,87","912,524","890,815","860,854","931,877","1,015,619","1,042,272","1,119,100"
Switzerland,"598,165","715,73","686,393","706,416","726,709","693,9","687,61","695,399","725,783","721,833"
Saudi Arabia,"528,206","676,635","741,85","753,865","766,606","669,484",666,"714,994","846,584","838,564"
Iran,"517,899","625,43","421,882","428,321","460,809","408,288","458,042","486,829","333,774","241,658"
Sweden,"495,813","574,094","552,484","586,842","581,964","505,104","515,655","541,019","555,455","533,88"
Belgium,"481,814","523,239","496,467","521,799","535,529","462,383","475,931","502,587","543,546","535,925"
Poland,"475,697","524,374","495,23","515,762","539,212","476,788","469,65","524,78","588,804","595,968"
Taiwan,"444,281","483,974","495,61","512,943","535,328","534,515","543,081","590,733","609,198","611,396"
Norway,"431,052","501,361","512,777","526,014","501,737","388,16","370,957","401,745","439,788","408,743"
Argentina,"424,729","527,644","579,666","611,471","563,614","642,464","556,774","643,861","524,431","446,762"
South Africa,"417,315","458,708","434,4","400,877","381,195","346,663","323,493","381,317","405,093","389,245"
Austria,"392,595","431,609","409,661","430,197","442,699","382,01","395,728","417,114","455,198","444,645"
Nigeria,"369,062","414,095","460,952","514,966","568,499","492,437","404,649","375,745","421,737","448,12"
Thailand,"341,105","370,819","397,558","420,334","407,339","401,296","413,366","456,357","506,754","543,977"
Denmark,"321,995","344,003","327,149","343,584","352,994","302,673","313,116","332,121","356,841","346,499"
Venezuela,"318,281","316,482","372,592","258,931","214,69","125,449","112,915","115,883","102,021","73,003"
United Arab Emirates,"300,189","360,833","384,61","400,219","414,105","370,276","369,255","390,517","427,049","417,99"
Greece,"297,368","282,946","242,183","238,911","235,519","195,703","193,095","199,774","212,146","205,275"
Colombia,"286,498","334,966","370,691","382,094","381,24","293,492","282,719","311,89","334,124","323,055"
Malaysia,"258,64","302,184","318,909","327,869","342,868","301,355","301,256","319,109","358,783","365,178"
Finland,"249,628","275,556","258,454","271,366","274,934","234,558","240,705","255,558","275,833","268,545"
Singapore,"239,808","279,357","295,093","307,576","314,864","307,999","319,054","343,257","376,893","376,902"
Israel,"238,913","267,406","262,919","297,636","314,092","302,724","320,96","357,229","375,151","399,652"
Portugal,"238,308","245,075","216,361","226,437","229,961","199,414","206,369","221,28","242,423","240,013"
Egypt,"230,024","247,726","294,482","303,194","321,634","350,119","351,443","246,826","263,156","317,894"
Hong Kong,"228,639","248,514","262,629","275,697","291,46","309,386","320,86","341,271","361,731","363,075"
Ireland,"222,096","239,129","225,262","238,115","259,75","292,394","298,477","337,124","386,868","398,977"
Chile,"217,105","251,225","267,165","277,218","259,394","242,515","249,306","276,357","295,428","278,04"
Czech Republic,"209,07","229,563","208,858","211,686","209,359","188,033","196,272","218,629","249,001","252,548"
Philippines,"208,369","234,217","261,92","283,903","297,484","306,446","318,627","328,481","346,842","376,823"
Pakistan,"196,712","230,577","250,094","258,674","271,422","299,93","313,623","339,229","356,163","321,071"
Algeria,"177,785","218,332","227,144","229,701","238,943","187,494","180,764","190,004","194,507","193,361"
Romania,"170,294","192,835","179,243","189,83","199,981","177,877","185,334","210,529","243,498","250,993"
Peru,"148,991","170,929","193,072","202,581","202,902","192,186","195,633","215,74","226,858","232,419"
Kazakhstan,"148,047","192,626","207,999","236,635","221,416","184,388","137,289","166,806","179,34","181,667"
New Zealand,"145,36","166,949","175,033","187,132","200,153","176,326","185,901","203,626","209,6","210,762"
Vietnam,"143,212","171,312","195,169","212,728","232,888","236,795","252,146","277,071","304,47","331,818"
Iraq,"138,517","185,75","218,032","234,638","234,651","177,634","167,807","192,343","227,186","232,558"
Bangladesh,"138,094","154,097","159,749","179,676","207,102","233,687","265,236","293,755","321,379","351,238"
Ukraine,"136,011","163,059","175,781","183,31","133,392","90,922","93,349","112,127","130,943","154,009"
Hungary,"132,175","141,942","128,814","135,684","141,034","125,174","128,61","143,112","160,566","164,011"
Qatar,"119,707","167,775","186,834","198,728","206,225","161,74","151,732","161,099","183,335","176,371"
