Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kuwait,"115,401","154,02","174,066","174,179","162,695","114,606","109,399","120,688","138,211","138,695"
Morocco,"100,881","109,705","106,345","115,608","119,131","110,414","111,573","118,541","127,341","128,92"
Puerto Rico,"98,381","100,352","101,565","102,45","102,446","103,376","104,337","103,446","100,958","105,126"
Slovakia,"91,237","99,905","94,684","98,937","101,463","88,91","89,928","95,616","106,186","105,723"
Angola,"83,799","111,79","128,053","136,71","145,712","116,194","101,124","122,022","101,353","84,516"
Libya,"75,381","48,17","92,542","75,352","57,373","48,718","49,913","67,153","76,682","69,28"
Ecuador,"68,151","78,987","87,735","96,57","102,718","97,21","97,671","104,467","107,479","107,596"
Sudan,"65,716","66,448","48,948","52,892","60,726","64,534","64,888","48,906","33,432","33,586"
Oman,"64,994","77,497","87,409","89,936","92,699","78,711","75,129","80,857","91,505","88,061"
Syria,"60,043",,,,,,,,,
Croatia,"58,869","62,724","57,391","59,494","59,358","50,862","52,497","56,042","61,508","61,475"
Sri Lanka,"58,643","67,725","70,392","76,934","82,483","85,091",88,"94,376","94,484","89,015"
Belarus,"57,22","61,368","65,669","75,496","78,736","56,329","47,703","54,723","60,011","64,414"
Luxembourg,"56,26","61,685","59,814","65,204","68,823","60,078","62,2","65,689","71,033","69,898"
Dominican Republic,"53,921","58,088","60,747","62,758","67,264","71,254","75,777","80,082","85,63","89,032"
Azerbaijan,"52,909","65,952","69,684","74,164","75,235","52,997","37,83","41,375","47,113","48,174"
Bulgaria,"50,69","57,682","54,297","55,82","57,081","50,766","53,929","59,288","66,398","68,889"
Uzbekistan,"49,772","60,213","67,52","73,192","80,848","85,662","85,658","62,081","52,87","60,284"
Slovenia,"48,248","51,575","46,607","48,416","50,01","43,112","44,754","48,572","54,202","54,393"
Tunisia,"46,21","48,122","47,311","48,681","50,273","45,779","44,36","42,167","42,687","41,905"
Kenya,"45,406","46,555","56,407","61,703","68,395","70,37","74,816","81,965","92,211","100,328"
Uruguay,"43,967","52,354","55,938","62,857","62,546","58,218","57,58","65,068","65,37","62,23"
Ghana,"43,327","53,849","56,854","63,702","54,285","49,437","56,144","60,385","67,259","68,353"
Guatemala,"41,493","47,419","49,902","52,989","57,835","62,18","66,034","71,624","73,331","77,156"
Serbia,"41,369","49,28","43,316","48,394","47,062","39,656","40,693","44,179","50,641","51,514"
Lebanon,"38,444","39,927","44,017","46,88","48,096","49,929","51,148","53,028","54,901","50,88"
Costa Rica,"37,656","42,762","47,231","50,949","52,017","56,442","58,847","60,517","62,422","64,412"
Lithuania,"37,195","43,584","42,952","46,537","48,611","41,44","43,035","47,742","53,776","54,815"
Myanmar,"35,748","50,292","55,131","59,176","63,153","62,655","60,09","61,267","66,699","68,802"
Turkmenistan,"35,164","44,413","50,252","50,863","56,204","44,944","42,876","45,902","49,299","53,035"
Ivory Coast,"34,431","35,529","37,03","43,228","48,882","45,815","48,408","52,512","58,522","60,383"
Tanzania,"31,86","34,369","39,65","45,677","49,982","47,424","49,774","53,275","54,775","58,797"
Yemen,"30,907","32,726","35,401","40,415","43,229","42,444","31,318","26,842","21,606","21,888"
Panama,"30,513","35,95","41,902","47,261","51,74","56,062","60,017","64,468","67,294","69,722"
Macau,"28,242","36,844","43,19","51,536","54,903","45,048","45,071","50,384","55,191","55,082"
Cameroon,"27,53","30,626","30,174","33,729","36,396","32,213","33,805","36,086","39,992","39,673"
Jordan,"27,134","29,524","31,679","34,503","36,9","38,642","39,949","41,667","43,432","44,566"
Paraguay,"27,129","33,737","33,296","38,651","40,378","36,211","36,09","38,997","40,225","37,925"
Ethiopia,"26,887","30,48","42,221","46,544","54,165","63,081","72,12","76,841","80,207","92,608"
Cyprus,"25,821","27,637","25,063","23,96","23,232","19,911","21,04","22,938","25,609","25,95"
Bahrain,"25,713","28,777","30,749","32,539","33,388","31,051","32,235","35,474","37,802","38,654"
Uganda,"24,683","27,501","30,939","32,331","34,754","30,122","30,278","31,589","34,127","37,892"
Latvia,"23,998","27,74","28,191","30,21","31,395","27,266","28,076","30,473","34,445","34,229"
Trinidad and Tobago,"22,522","25,789","27,335","28,71","29,698","27,027","23,723","24,04","24,569","23,776"
Democratic Republic of the Congo,"22,34","26,406","30,074","34,908","38,355","40,154","38,086","39,461","48,037","50,891"
Zambia,"20,264","23,455","25,502","28,042","27,145","21,245","20,965","25,874","26,312","23,309"
Bolivia,"19,786","24,135","27,282","30,883","33,237","33,241","34,189","37,782","40,581","41,193"
Estonia,"19,568","23,21","23,034","25,116","26,641","22,893","24,066","26,915","30,639","31,294"
El Salvador,"18,448","20,284","21,386","21,991","22,593","23,438","24,191","24,979","26,021","26,881"
Nepal,"18,253","21,685","21,703","22,161","22,722","24,361","24,524","28,972","33,112","34,186"
Bosnia and Herzegovina,"17,164","18,629","17,207","18,155","18,522","16,404","17,117","18,326","20,484","20,483"
Equatorial Guinea,"16,314","21,357","22,388","21,949","21,765","13,185","11,241","12,201","13,097","11,364"
Senegal,"16,134","17,811","17,672","18,919","19,802","17,777","19,035","20,989","23,127","23,405"
Honduras,"15,839","17,711","18,523","18,494","19,753","20,978","21,712","23,138","24,067","25,091"
Afghanistan,"15,325","17,89","20,293","20,17","20,616","20,057","18,02","18,883","18,336","18,876"
Gabon,"14,384","18,207","17,181","17,596","18,209","14,385","14,02","14,924","16,83","16,824"
Chad,"14,289","16,237","16,174","16,92","18,213","14,508","13,4","13,344","15,334","14,917"
Papua New Guinea,"14,251","17,985","21,295","21,261","23,211","21,723","20,759","22,743","24,11","24,751"
Cambodia,"13,796","16,017","17,829","19,806","22,04","24,217","26,591","29,394","33,181","36,682"
Iceland,"13,751","15,222","14,752","16,125","17,868","17,517","20,793","24,728","26,261","24,681"
Brunei,"13,707","18,525","19,048","18,094","17,098","12,93","11,4","12,128","13,567","13,469"
Jamaica,"13,193","14,413","14,765","14,213","13,865","14,154","14,108","14,755","15,648","15,808"
Republic of the Congo,"13,159","15,653","17,704","17,959","17,918","11,891","10,928","11,83","14,781","13,977"
Botswana,"12,637","15,111","13,907","14,272","15,47","13,531","15,083","16,105","17,032","16,696"
Georgia,"12,425","15,475","16,894","17,516","17,966","15,223","15,445","16,472","17,905","17,645"
Zimbabwe,"12,042","14,1","17,116","19,093","19,499","19,969","20,555","22,046","37,065","26,033"
Albania,"11,937","12,899","12,324","12,784","13,246","11,389","11,862","13,053","15,157","15,399"
Haiti,"11,852","13,009","13,709","14,904","15,137","14,831","13,996","15,036","16,454","14,787"
Mozambique,"11,412","14,619","16,688","17,198","17,978","16,209","12,069","13,265","15,017","15,513"
Namibia,"11,281","12,423","13,016","12,168","12,434","11,45","10,719","12,883","13,676","12,539"
Mali,"10,698","12,993","12,45","13,243","14,369","13,106","14,022","15,36","17,079","17,281"
Mauritius,"10,138","11,673","11,826","12,293","13,074","12,007","12,594","13,714","14,736","14,436"
Burkina Faso,"10,118","12,078","12,569","13,444","13,947","11,833","12,829","14,094","15,916","16,031"
Bahamas,"10,096","10,07","10,72","10,395","10,998","11,673","11,751","12,254","12,654","13,059"
Madagascar,"9,983","11,552","11,579","12,424","12,523","11,323","11,849","13,176","13,76","14,105"
Malawi,"9,796","11,241","8,421","7,648","8,526","9,014","7,733","8,943","9,882","11,031"
Palestine,"9,682","11,186","12,208","13,516","13,99","13,972","15,405","16,128","16,277","17,134"
Benin,"9,543","10,691","11,148","12,518","13,288","11,389","11,818","12,697","14,257","14,392"
North Macedonia,"9,415","10,499","9,751","10,824","11,378","10,067","10,686","11,336","12,694","12,609"
Armenia,"9,26","10,142","10,619","11,121","11,61","10,553","10,546","11,527","12,458","13,619"
Malta,"9,043","9,637","9,468","10,551","11,629","11,093","11,665","13,48","15,411","16,006"
Nicaragua,"8,759","9,774","10,532","10,983","11,88","12,757","13,286","13,786","13,025","12,713"
Niger,"7,838","8,754","9,412","10,206","10,83","9,684","10,35","11,181","12,814","12,917"
Laos,"7,506","8,964","10,194","11,972","13,266","14,418","15,904","17,055","18,131","18,77"
Mongolia,"7,185","10,41","12,278","12,582","12,227","11,62","11,154","11,481","13,207","14,206"
Moldova,"6,977","8,417","8,708","9,496","9,51","7,726","8,072","9,515","11,252","11,737"
Guinea,"6,858","6,775","7,387","8,376","8,777","8,79","8,604","10,325","11,857","13,443"
Rwanda,"6,124","6,885","7,654","7,821","8,24","8,546","8,695","9,253","9,637","10,345"
Tajikistan,"5,642","6,523","7,592","8,506","9,242","7,857","6,994","7,535","7,762","8,301"
Mauritania,"5,637","6,782","6,721","7,331","6,615","6,182","6,414","6,826","7,472","7,894"
Kosovo,"5,348","6,34","6,167","6,735","7,076","6,296","6,681","7,178","7,882","7,9"
Kyrgyzstan,"4,794","6,198","6,604","7,335","7,467","6,678","6,813","7,703","8,271","9,372"
Togo,"4,75","5,421","5,417","6,022","6,395","5,756","6,069","6,385","7,033","6,993"
Suriname,"4,677","4,735","5,332","5,51","5,612","5,126","3,317","3,592","3,996","4,016"
Barbados,"4,53","4,658","4,61","4,677","4,696","4,725","4,833","4,982","5,097","5,367"
Eswatini,"4,438","4,826","4,887","4,6","4,426","4,061","3,815","4,407","4,667","4,495"
Montenegro,"4,146","4,544","4,09","4,466","4,595","4,055","4,376","4,855","5,509","5,543"
Andorra,"3,446","3,625","3,189","3,193","3,267","2,789","2,895","2,993","3,217","3,155"
Fiji,"3,402","4,094","4,303","4,539","4,857","4,682","4,93","5,353","5,581","5,444"
Guyana,"2,889","3,328","4,063","4,168","4,128","4,28","4,483","4,748","4,788","5,174"
Maldives,"2,588","2,629","2,885","3,286","3,69","4,098","4,367","4,747","5,294","5,599"
Sierra Leone,"2,578","2,942","3,802","4,916","5,007","4,252","3,855","3,713","4,085","4,074"
Aruba,"2,454","2,638","2,615","2,728","2,791","2,963","2,984","3,092","3,276","3,396"
Lesotho,"2,356","2,571","2,465","2,345","2,477","2,202","2,206","2,424","2,472","2,323"
Central African Republic,"2,141","2,435","2,512","1,692","1,896","1,696","1,825","2,072","2,28","2,278"
Burundi,"2,032","2,236","2,333","2,456","2,706","3,104","2,96","3,172","3,037","3,012"
Liberia,"1,966","2,34","2,675","3,044","3,09","3,092","3,256","3,321","3,264","3,08"
San Marino,"1,883","1,813","1,606","1,678","1,674","1,42","1,468","1,528","1,656","1,616"
Cape Verde,"1,825","2,047","1,913","2,029","2,042","1,75","1,855","1,965","2,073","2,231"
Belize,"1,739","1,819","1,9","2,022","2,125","2,195","2,241","2,267","2,293","2,387"
Eritrea,"1,59","2,065","2,255","1,958","2,604","2,016","2,213","1,904","2,006","1,982"
Djibouti,"1,544","1,74","1,901","2,044","2,221","2,424","2,605","2,763","2,913","3,089"
Gambia,"1,543","1,41","1,415","1,376","1,229","1,355","1,47","1,498","1,662","1,806"
Bhutan,"1,511","1,842","1,931","1,967","1,933","2,126","2,218","2,445","2,651","2,618"
Saint Lucia,"1,463","1,569","1,598","1,66","1,75","1,807","1,869","1,999","2,061","2,103"
Antigua and Barbuda,"1,149","1,138","1,2","1,181","1,25","1,337","1,437","1,468","1,605","1,675"
Seychelles,970,"1,018","1,06","1,328","1,388","1,432","1,568","1,675","1,777","1,867"
Guinea-Bissau,941,"1,157","1,05","1,11","1,136","1,153","1,245","1,469","1,555","1,487"
Comoros,909,"1,023","1,016","1,116","1,15",966,"1,013","1,077","1,179","1,188"
Timor-Leste,882,"1,042","1,16","1,396","1,447","1,594","1,651","1,616","1,584","2,048"
Solomon Islands,847,"1,05","1,185","1,286","1,336","1,308","1,379","1,47","1,615","1,619"
Saint Kitts and Nevis,779,836,825,875,953,957,"1,007","1,058","1,076","1,107"
Grenada,771,779,800,843,911,997,"1,062","1,126","1,167","1,213"
Saint Vincent and the Grenadines,720,714,730,765,771,787,814,844,884,911
Samoa,680,744,773,798,797,824,844,885,878,913
Vanuatu,652,738,736,755,774,744,775,880,929,930
Dominica,494,501,486,498,520,541,576,522,555,612
Tonga,367,415,471,451,440,437,421,460,481,511
Federated States of Micronesia,291,307,323,313,314,310,325,359,392,394
São Tomé and Príncipe,191,228,231,269,295,262,294,325,387,416
Palau,184,195,215,226,246,283,303,290,289,282
Kiribati,166,196,207,202,201,192,207,223,234,217
Marshall Islands,160,172,180,186,185,183,201,213,219,232
Nauru,48,66,101,94,99,85,97,109,131,125
Tuvalu,32,40,39,39,39,37,41,45,48,54
Somalia,,"5,022","5,183","5,869","6,443","6,841","7,391","8,252","8,278","9,42"
South Sudan,,"17,34","11,267","14,947","15,178","15,326","2,899","1,804","3,118","4,044"
