Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Costa Rica,"15,016","15,979","16,584","17,277","18,615","20,049","22,717","26,885","30,802","30,746"
Ivory Coast,"14,851","15,485","17,148","21,206","22,924","23,626","24,628","28,158","33,621","33,693"
Bulgaria,"13,246","14,183","16,403","21,146","26,158","29,868","34,38","44,432","54,476","52,024"
Sudan,"13,134","15,716","18,137","21,355","26,646","35,183","45,264","59,44","64,833","54,812"
Panama,"12,958","13,166","13,685","14,422","15,811","17,244","19,109","22,072","26,072","28,104"
Tanzania,"12,369","12,61","13,123","14,159","15,576","17,174","18,878","21,81","27,779","29,301"
El Salvador,"11,785","12,283","12,664","13,244","13,725","14,698",16,"17,012","17,987","17,602"
Lithuania,"11,525","12,238","14,257","18,782","22,624","26,115","30,203","39,764","48,03","37,475"
Ghana,"11,47","12,234","14,205","17,528","20,302","24,6","28,883","34,044","38,659","34,601"
Zimbabwe,"11,34","11,244","10,735","9,574","9,465","9,046","8,141","7,785","6,707","9,666"
Angola,"11,166","10,93","15,286","17,813","23,552","36,971","52,381","65,266","88,539","70,307"
Belarus,"10,785","12,778","15,092","18,42","23,928","31,239","38,219","46,815","62,798","50,855"
Cameroon,"10,245","10,95","12,369","15,944","18,803","19,534","20,912","23,931","27,712","27,903"
Cyprus,"9,988","10,397","11,422","14,552","17,328","18,713","20,422","24,082","27,955","26,02"
Serbia,"9,79","13,009","17,185","22,515","26,017","27,496","32,602","43,395","52,094","45,156"
Yemen,"9,679","9,853","10,693","11,778","13,868","16,732","19,063","21,651","26,911","25,13"
Jamaica,"9,065","9,195","9,719","9,43","10,175","11,233","11,946","12,881","13,743","12,107"
Bahrain,"9,063","9,189","9,594","11,075","13,15","15,969","18,505","21,73","25,711","22,938"
Iceland,"9,026","8,235","9,318","11,429","13,825","16,853","17,465","21,653","18,075","13,154"
Paraguay,"8,856","8,496","7,196","7,691","9,624","10,738","13,43","17,856","24,615","22,355"
Jordan,"8,725","9,268","9,972","10,575","11,771","13,134","15,795","17,957","22,648","24,538"
Turkmenistan,"8,587","11,855","14,875","19,533","24,272","29,363","36,577","44,388","36,788","34,562"
Bolivia,"8,385","8,155","7,917","8,092","8,785","9,573","11,52","13,216","16,792","17,464"
Trinidad and Tobago,"8,295","8,96","9,148","11,464","13,472","16,17","18,6","21,937","28,193","19,52"
Ethiopia,"8,167","8,103","7,828","8,604","10,122","12,387","15,31","19,329","26,25","28,672"
Bahamas,"8,076","8,318","8,881","8,87","9,055","9,836","10,167","10,618","10,526","9,982"
Latvia,"7,963","8,363","9,564","11,777","14,44","17,03","21,589","31,1","36,023","26,48"
Uganda,"7,756","7,835","8,425","8,725","10,75","12,46","14,079","17,512","22,419","24,107"
Myanmar,"7,261","6,693","6,496","8,336","10,095","11,382","12,752","16,76","23,907","28,971"
Honduras,"7,104","7,653","7,858","8,23","8,868","9,756","10,917","12,361","13,887","14,587"
Haiti,"6,81","6,285","6,064","4,866","6,037","7,186","7,507","9,522","10,488","11,598"
Brunei,"6,65","6,206","6,475","7,266","8,723","10,561","12,71","13,571","15,949","11,892"
Nepal,"6,537","6,719","6,816","7,218","8,297","9,331","10,316","11,777","14,31","14,663"
Senegal,"6,016","6,508","7,001","8,767","10,072","11,015","11,699","13,996","16,852","16,128"
Mozambique,"5,931","5,65","5,951","6,584","7,937","8,868","9,51","10,811","12,92","12,264"
Estonia,"5,707","6,269","7,391","9,891","12,158","14,126","17,047","22,476","24,433","19,693"
Botswana,"5,682","5,46","5,395","7,469","8,819","9,833","9,919","10,566","10,731","10,118"
Bosnia and Herzegovina,"5,554","5,784","6,711","8,477","10,157","10,935","12,46","15,323","18,712","17,601"
Gabon,"5,397","5,023","5,332","6,51","7,767","9,468","10,164","12,457","15,57","12,188"
Azerbaijan,"5,273","5,475","6,232","7,276","8,682","13,239","20,983","33,05","48,852","44,297"
Papua New Guinea,"5,169","4,531","4,387","5,488","6,279","7,339","8,355","9,545","11,671","11,619"
Nicaragua,"5,109","5,335","5,224","5,322","5,793","6,321","6,764","7,423","8,497","8,297"
Mauritius,"4,935","4,882","5,123","6,155","6,962","6,867","7,123","8,26","10,125","9,252"
Madagascar,"4,629","5,438","5,352","6,372","5,065","5,859","6,396","8,525","10,725","9,617"
Palestine,"4,314","4,004","3,556","3,968","4,603","5,126","5,348","5,816","7,31","8,086"
Malawi,"4,257","4,178","4,922","4,521","4,895","5,148","5,63","6,24","7,492","8,723"
Malta,"4,075","4,089","4,478","5,455","6,102","6,415","6,811","7,989","9,127","8,721"
Guinea,"4,039","3,806","4,022","4,759","5,012","4,506","4,178","6,317","6,966","6,753"
Namibia,"3,941","3,577","3,396","4,974","6,673","7,324","7,711","8,73","8,496","8,915"
North Macedonia,"3,774","3,709","3,991","4,946","5,684","6,257","6,86","8,337","9,912","9,4"
Cambodia,"3,707","4,154","4,507","5,054","5,879","7,058","8,342","10,117","12,162","12,49"
Republic of the Congo,"3,624","3,038","3,33","3,863","5,101","6,654","8,073","8,784","11,649","9,713"
Zambia,"3,601","3,87","4,194","4,902","6,221","8,329","12,762","14,06","17,914","15,332"
Benin,"3,522","3,666","4,191","5,348","6,187","6,571","7,034","8,17","9,787","9,728"
Albania,"3,483","3,928","4,348","5,611","7,185","8,052","8,896","10,677","12,881","12,044"
Georgia,"3,144","3,311","3,493","4,103","5,269","6,59","7,979","10,458","13,158","11,069"
Barbados,"3,059","3,055","3,106","3,21","3,444","3,82","4,217","4,674","4,785","4,466"
Mali,"2,963","3,468","3,905","4,713","5,452","6,251","6,906","8,157","9,871","10,249"
Burkina Faso,"2,961","3,19","3,62","4,74","5,449","6,15","6,548","7,627","9,45","9,44"
Niger,"2,235","2,442","2,772","3,382","3,746","4,372","4,743","5,716","7,279","7,324"
Kosovo,"2,217","2,509","2,73","3,39","3,71","3,828","4,019","4,868","5,202","5,03"
Chad,"2,142","2,638","3,076","4,227","6,816","9,097","10,249","11,993","14,354","12,998"
Rwanda,"2,049","1,967","1,963","2,139","2,388","2,943","3,317","4,069","5,183","5,675"
Togo,"2,014",2,"2,301","2,854","3,048","3,08","3,173","3,76","4,578","4,717"
Armenia,"1,912","2,118","2,376","2,807","3,577","4,9","6,384","9,206","11,662","8,648"
Aruba,"1,873","1,896","1,962","2,044","2,255","2,36","2,47","2,678","2,843","2,554"
Fiji,"1,824","1,798","1,996","2,509","2,954","3,257","3,361","3,688","3,816","3,106"
Mauritania,"1,78","1,746","1,777","2,051","2,362","2,936","4,009","4,328","5,138","4,725"
Eswatini,"1,739","1,544","1,436","2,198","2,774","3,177","3,293","3,465","3,298","3,596"
Laos,"1,72","1,757","1,844","2,26","2,651","3,079","3,934","4,757","5,946","6,431"
Guyana,"1,497","1,504","1,555","1,592","1,657","1,712","1,899","2,225","2,491","2,596"
Andorra,"1,429","1,547","1,758","2,362","2,896","3,158","3,456","3,952","4,082","3,675"
Kyrgyzstan,"1,368","1,525","1,606","1,92","2,214","2,459","2,837","3,807","5,139","4,69"
Suriname,"1,355","1,167","1,474","1,729",2,"2,393","2,812","3,144","3,783","4,15"
Moldova,"1,315","1,481","1,662","1,981","2,598","2,988","3,408","4,401","6,055","5,438"
Equatorial Guinea,"1,159","1,674","2,071","3,768","5,954","8,187","10,095","13,089","19,83","15,088"
Mongolia,"1,137","1,268","1,397","1,595","1,992","2,523","3,414","4,235","5,623","4,584"
Belize,"1,082","1,129","1,199","1,267","1,356","1,427","1,584","1,699","1,732","1,681"
Gambia,"1,01","1,002",887,843,962,"1,028","1,054","1,28","1,562","1,45"
San Marino,"1,008","1,06","1,148","1,462","1,714","1,788","1,91","2,189","2,403","2,062"
Tajikistan,991,"1,057","1,212","1,555","2,073","2,311","2,811","3,712","5,135","4,977"
Montenegro,966,"1,15","1,269","1,681","2,073","2,261","2,724","3,686","4,564","4,171"
Sierra Leone,941,"1,084","1,25","1,38","1,439","1,61","1,884","2,159","2,511","2,454"
Saint Lucia,932,892,899,987,"1,066","1,135","1,268","1,331","1,427","1,4"
Lesotho,922,774,856,"1,256","1,598","1,73","1,72","1,759","1,652","1,937"
Burundi,870,877,825,785,915,"1,117","1,273","1,356","1,612","1,775"
Central African Republic,868,899,983,"1,188","1,31","1,413","1,538","1,755","2,033","2,059"
Liberia,863,904,943,714,897,944,"1,109","1,344","1,676","1,765"
Antigua and Barbuda,826,800,814,856,920,"1,023","1,158","1,313","1,37","1,228"
Maldives,801,767,828,"1,052","1,227","1,163","1,575","1,868","2,272","2,345"
Djibouti,781,811,837,882,936,996,"1,08","1,191","1,382","1,426"
Seychelles,615,622,698,706,839,919,"1,016","1,034",998,847
Cape Verde,609,616,679,825,943,"1,041","1,084","1,231","1,472","1,662"
Eritrea,547,582,564,673,858,850,937,"1,02",923,"1,297"
Grenada,520,520,540,591,599,695,699,759,826,771
Bhutan,454,474,517,616,700,818,876,"1,071","1,353","1,274"
Saint Vincent and the Grenadines,428,462,488,509,550,580,644,714,733,714
Saint Kitts and Nevis,421,458,481,469,507,547,644,689,778,774
Solomon Islands,420,410,346,353,398,477,539,620,699,736
Guinea-Bissau,392,413,466,553,582,640,635,753,953,889
Timor-Leste,367,477,470,490,441,462,454,543,648,727
Comoros,339,373,427,547,622,656,689,796,916,904
Dominica,333,340,333,343,367,364,390,421,458,489
Vanuatu,272,257,262,315,365,390,435,517,582,590
Samoa,271,273,289,342,418,486,516,568,684,618
Federated States of Micronesia,230,236,238,241,236,246,249,252,258,275
Tonga,203,181,183,202,231,262,292,299,344,312
Palau,150,159,163,155,166,186,191,196,199,184
Marshall Islands,115,122,132,131,133,138,143,150,146,151
São Tomé and Príncipe,77,72,80,96,104,125,133,145,188,201
Kiribati,75,65,75,97,104,114,112,138,150,142
Tuvalu,15,14,17,20,23,23,24,29,32,28
Afghanistan,,,"4,367","4,553","5,146","6,167","6,925","8,556","10,297","12,066"
Macau,,"6,86","7,372","8,247","10,643","12,16","14,874","18,44","21,027","21,588"
Nauru,,,,,31,30,29,23,37,44
