Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
United States,"10,250,950","10,581,925","10,929,100","11,456,450","12,217,175","13,039,200","13,815,600","14,474,250","14,769,850","14,478,050"
Japan,"4,968,360","4,374,710","4,182,845","4,519,564","4,893,135","4,831,467","4,601,663","4,579,750","5,106,679","5,289,494"
Germany,"1,948,843","1,945,804","2,077,016","2,501,014","2,813,076","2,848,438","2,994,862","3,425,982","3,744,854","3,407,557"
United Kingdom,"1,668,690","1,650,252","1,788,549","2,056,294","2,422,619","2,546,038","2,712,257","3,091,695","2,960,390","2,421,476"
France,"1,366,243","1,377,667","1,500,348","1,844,083","2,118,671","2,198,160","2,320,659","2,660,905","2,929,983","2,697,955"
China,"1,205,532","1,333,649","1,465,829","1,656,962","1,949,446","2,290,019","2,754,149","3,555,655","4,577,280","5,088,992"
Italy,"1,147,185","1,168,032","1,275,866","1,577,228","1,805,723","1,859,245","1,949,654","2,213,365","2,408,391","2,197,540"
Canada,"744,631","738,968","760,149","895,599","1,026,473","1,173,505","1,319,356","1,468,896","1,552,864","1,376,509"
Mexico,"742,061","796,055","810,666","765,55","819,459","917,572","1,020,265","1,102,356","1,161,553","943,437"
Brazil,"655,454","559,982","509,798","558,232","669,29","891,633","1,107,628","1,397,114","1,695,855","1,669,204"
Spain,"598,628","627,834","708,256","907,264","1,068,570","1,154,354","1,260,466","1,474,176","1,631,685","1,489,853"
South Korea,"576,483","547,743","626,989","702,696","792,532","934,708","1,052,610","1,172,465","1,049,168","943,739"
India,"468,396","485,44","514,938","607,701","709,152","820,385","940,26","1,216,736","1,198,895","1,341,889"
Netherlands,"417,664","431,59","473,527","579,925","658,081","685,727","733,994","848,659","951,766","870,572"
Australia,"400,254","378,004","425,486","541,343","658,941","736,417","783,356","950,04","1,056,715","1,000,983"
Iran,"366,917","330,978","132,682","158,416","188,961","228,428","272,361","360,928","425,699","440,408"
Taiwan,"330,68","299,276","307,439","317,381","346,924","374,06","386,45","406,907","415,901","390,829"
Argentina,"317,759","300,421","112,458","142,431","164,911","199,273","232,892","287,921","363,545","334,633"
Switzerland,"279,24","286,693","309,513","362,165","403,358","418,086","441,727","490,84","566,911","553,735"
Russia,"278,264","328,475","370,062","461,518","633,294","817,717","1,060,901","1,393,416","1,779,109","1,307,927"
Turkey,"274,321","202,248","240,191","314,752","409,127","506,186","555,126","680,489","770,82","648,797"
Sweden,"262,834","242,395","266,848","334,337","385,119","392,219","423,091","491,255","517,706","436,536"
Belgium,"236,897","236,748","258,2","318,004","369,047","385,927","408,281","470,978","517,27","482,73"
Austria,"197,377","197,51","214,243","262,208","301,321","316,267","336,298","389,231","432,005","401,323"
Saudi Arabia,"189,514","184,137","189,605","215,807","258,741","328,205","376,397","415,687","519,796","429,097"
Indonesia,"179,482","174,507","212,807","255,346","279,344","310,92","396,518","470,092","558,291","578,577"
Hong Kong,"171,643","169,381","166,336","161,37","169,085","181,556","193,515","211,583","219,279","214,048"
Poland,"171,613","190,805","199,07","217,829","255,292","306,304","344,627","429,021","533,6","439,794"
Norway,"171,456","174,24","195,915","229,385","265,267","309,979","346,914","402,646","464,915","387,974"
Denmark,"164,158","164,791","178,635","218,097","251,375","264,467","282,886","319,424","353,359","321,243"
South Africa,"151,855","135,527","129,385","197,017","256,188","288,749","304,055","332,65","316,491","331,184"
Israel,"136,228","134,622","125,055","131,314","139,9","147,103","158,722","184,069","220,551","212,452"
Greece,"132,198","136,31","154,455","202,319","240,854","248,012","273,561","318,94","355,87","330,949"
Thailand,"126,392","120,296","134,301","152,281","172,896","189,318","221,758","262,943","291,383","281,711"
Finland,"126,075","129,534","140,305","171,609","197,39","204,999","217,101","256,408","285,685","253,222"
Portugal,"118,658","121,605","134,7","165,185","189,296","197,363","208,767","240,524","263,388","244,402"
Venezuela,"117,596","123,119","95,258","83,684","112,254","143,375","178,521","232,857","306,764","268,624"
Egypt,"104,752","102,273","90,261","85,163","82,855","94,127","112,902","137,055","170,797","198,316"
United Arab Emirates,"102,987","103,312","109,816","124,346","147,812","180,616","222,117","257,883","315,464","253,547"
Malaysia,"102,149","101,054","109,833","120,025","135,869","150,345","170,41","202,732","241,946","211,847"
Ireland,"100,253","109,347","128,505","164,63","194,283","211,993","232,193","270,112","275,417","236,187"
Pakistan,"99,421","96,784","98,169","112,507","132,206","145,209","161,871","184,141","202,204","187,074"
Colombia,"99,27","97,606","97,353","94,072","116,382","145,601","161,793","206,23","242,505","232,469"
Singapore,"96,077","89,794","92,538","97,646","115,034","127,808","148,627","180,942","193,617","194,15"
Philippines,"83,667","78,921","84,307","87,039","95,002","107,42","127,653","155,98","181,007","176,132"
Chile,"78,25","71,517","70,295","76,508","99,079","122,315","153,84","172,565","179,663","171,794"
Nigeria,"67,824","73,128","93,983","102,935","130,345","169,645","222,791","262,215","330,26","297,458"
Czech Republic,"61,823","67,809","82,184","100,125","119,815","137,143","156,264","189,988","237,131","207,558"
Puerto Rico,"61,702","69,669","72,546","75,834","80,322","83,915","87,276","89,524","93,639","96,386"
Bangladesh,"61,687","62,537","65,036","71,755","77,152","79,53","86,028","95,374","109,765","122,76"
Algeria,"59,418","59,413","61,516","73,482","91,914","107,047","123,084","142,483","180,384","150,317"
New Zealand,"54,127","53,129","62,06","82,408","101,599","113,266","109,738","134,876","135,373","121,701"
Peru,"50,414","51,034","53,954","58,537","66,126","74,232","87,459","102,187","121,293","121,821"
Hungary,"47,218","53,75","67,609","85,285","104,121","113,211","115,716","140,187","158,326","131,069"
Morocco,"42,053","42,704","45,711","56,345","64,528","67,468","74,284","85,539","100,112","100,535"
Vietnam,"39,585","41,297","44,563","50,233","62,877","73,197","84,301","98,426","124,756","129,022"
Libya,"39,498","35,206","21,128","27,026","34,054","48,852","60,094","68,211","86,804","60,809"
Kuwait,"37,714","34,906","38,129","47,869","59,439","80,799","101,548","114,608","147,391","105,992"
Romania,"37,447","40,396","46,035","57,79","75,059","98,547","122,114","174,831","215,568","174,564"
Ukraine,"32,331","37,863","42,339","50,096","64,747","85,996","107,767","143,26","181,313","117,079"
Iraq,"25,857","18,936","18,97","15,8","36,642","50,065","65,144","88,833","131,614","111,66"
Uruguay,"24,892","22,802","14,863","13,159","14,959","18,986","21,416","25,603","33,151","34,565"
Dominican Republic,"24,306","25,602","27,249","21,518","22,506","35,948","37,998","44,067","48,206","48,319"
Tunisia,"22,524","23,146","24,274","28,797","32,71","33,851","36,059","40,819","47,039","45,593"
Oman,"22,259","22,206","23,066","24,734","28,379","35,507","42,578","48,3","69,805","55,454"
Croatia,"22,138","23,063","26,739","35,249","41,836","45,05","49,601","59,325","68,512","62,021"
Luxembourg,"21,24","21,388","23,633","29,66","35,049","37,693","42,912","51,593","58,838","54,408"
Slovakia,"20,73","21,421","24,888","34,085","43,19","49,116","57,492","77,239","97,17","89,302"
Slovenia,"20,393","20,901","23,539","29,673","34,448","36,26","39,514","48,073","55,773","50,513"
Sri Lanka,"20,007","19,236","20,238","22,352","24,423","28,88","33,447","38,27","48,177","49,75"
Syria,"19,861","20,979","22,758","21,702","25,204","28,881","33,824","40,488","52,631","53,939"
Democratic Republic of the Congo,"19,077","7,246","8,72","9,022","10,275","12,72","15,403","18,598","22,665","18,626"
Kazakhstan,"18,292","22,153","24,637","30,834","43,152","57,125","81,003","104,85","133,442","115,309"
Kenya,"18,206","18,697","19,03","21,391","22,79","26,308","29,668","36,708","41,059","42,347"
Guatemala,"18,124","19,735","21,924","23,092","24,977","28,179","31,308","35,028","40,242","37,997"
Qatar,"18,085","17,498","19,334","23,716","30,651","44,636","58,629","75,987","112,621","88,196"
Ecuador,"17,531","23,127","27,054","30,965","35,195","40,279","45,691","49,849","61,139","60,095"
Uzbekistan,"17,195","14,581","12,106","12,697","15,045","17,939","21,344","27,963","35,858","41,945"
Lebanon,"17,018","17,361","18,837","19,486","21,16","21,497","22,023","24,827","29,119","35,4"
